date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:35	138/138	---MCZ	200	added ('OK')	text/plain	date:Thu,%2015%20Feb%202024%2018:12:19%20GMT	https://yweb.pages.app.br/robots.txt		(from )
15:12:35	121194/121194	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2018:12:20%20GMT	https://yweb.pages.app.br/	C:/Users/Tec3.pc/Documents/DIOGO/yweb/yweb.pages.app.br/index.html	(from )
15:12:36	6571/6571	---M--	200	added ('OK')	image/png	etag:%22bb501499bae396c42a56dbf4c5412e00%22	https://cdn.greatsoftwares.com.br/arquivos/paginas/96459-faf99012c07e8c223c53b31e3cd41a9b.png	C:/Users/Tec3.pc/Documents/DIOGO/yweb/cdn.greatsoftwares.com.br/arquivos/paginas/96459-faf99012c07e8c223c53b31e3cd41a9b.png	(from https://yweb.pages.app.br/)
15:12:36	61593/61593	---M--	200	added ('OK')	image/png	etag:%22b748093f7a25dd5d62193dab4aa15155%22	https://cdn.greatsoftwares.com.br/arquivos/paginas/96459-e54970a2ff4457a5d3c9cfade9e77132.png	C:/Users/Tec3.pc/Documents/DIOGO/yweb/cdn.greatsoftwares.com.br/arquivos/paginas/96459-e54970a2ff4457a5d3c9cfade9e77132.png	(from https://yweb.pages.app.br/)
15:12:36	3279/3279	---M--	200	added ('OK')	image/png	etag:%228bff78ef1743211e54c94ae2694630e6%22	https://cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/desktop/486123_1_170791335265ccb088d72af673282358.png	C:/Users/Tec3.pc/Documents/DIOGO/yweb/cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/desktop/486123_1_170791335265ccb088d72af673282358.png	(from https://yweb.pages.app.br/)
15:12:37	41524/41524	---M--	200	added ('OK')	image/png	etag:%22225f72185b6ef587b664598a2b7e22b5%22	https://cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/desktop/486123_1_170791335265ccb088d7de5642069873.png	C:/Users/Tec3.pc/Documents/DIOGO/yweb/cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/desktop/486123_1_170791335265ccb088d7de5642069873.png	(from https://yweb.pages.app.br/)
15:12:37	20841/20841	---M--	200	added ('OK')	image/gif	etag:%22e0195787011f46ec8840551a5c1ad7f7%22	https://cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/desktop/486123_1_170791335265ccb088d7f09343933071.gif	C:/Users/Tec3.pc/Documents/DIOGO/yweb/cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/desktop/486123_1_170791335265ccb088d7f09343933071.gif	(from https://yweb.pages.app.br/)
15:12:37	24011/24011	---M--	200	added ('OK')	image/png	etag:%2233266a589628d69ce2b83b2779d1833b%22	https://cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/desktop/486123_1_170791335265ccb088e418e437475157.png	C:/Users/Tec3.pc/Documents/DIOGO/yweb/cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/desktop/486123_1_170791335265ccb088e418e437475157.png	(from https://yweb.pages.app.br/)
15:12:38	2970/2970	---M--	200	added ('OK')	image/png	etag:%22a383c361f194bc3bf1b02f282c7af7b4%22	https://cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/mobile/486123_1_170791335265ccb088d72af673282358.png	C:/Users/Tec3.pc/Documents/DIOGO/yweb/cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/mobile/486123_1_170791335265ccb088d72af673282358.png	(from https://yweb.pages.app.br/)
15:12:38	22857/22857	---M--	200	added ('OK')	image/png	etag:%222fbc60c66464917ad32b4a2db3ff4882%22	https://cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/mobile/486123_1_170791335265ccb088d7de5642069873.png	C:/Users/Tec3.pc/Documents/DIOGO/yweb/cdn.greatpages.com.br/yweb.pages.app.br/1708020682/imagens/mobile/486123_1_170791335265ccb088d7de5642069873.png	(from https://yweb.pages.app.br/)
